model,term,estimate,std_error,ci_low,ci_high,p_value,estimate_type
ols_log_shares_hc3,Intercept,7.205178954270298,0.009934667369470936,7.1857067692858205,7.224651139254776,0.0,coefficient
ols_log_shares_hc3,"C(channel, Treatment(reference=""world""))[T.bus]",0.21391035389394977,0.014149298729311203,0.18617739092586386,0.2416433168620357,1.7137520511741446e-51,coefficient
ols_log_shares_hc3,"C(channel, Treatment(reference=""world""))[T.entertainment]",0.040733721853458735,0.014940005538614192,0.011450954680901074,0.0700164890260164,0.006404073177267336,coefficient
ols_log_shares_hc3,"C(channel, Treatment(reference=""world""))[T.lifestyle]",0.33713141730349827,0.022839844730853136,0.29236477690418167,0.3818980577028149,3.549470835142409e-49,coefficient
ols_log_shares_hc3,"C(channel, Treatment(reference=""world""))[T.other]",0.5094469978785833,0.01933648907938384,0.4715470181106492,0.5473469776465173,1.1485689621361132e-151,coefficient
ols_log_shares_hc3,"C(channel, Treatment(reference=""world""))[T.socmed]",0.5343070158264486,0.02041842715766766,0.4942864116210186,0.5743276200318785,1.1587710867587093e-149,coefficient
ols_log_shares_hc3,"C(channel, Treatment(reference=""world""))[T.tech]",0.3470055928988616,0.01376922641706486,0.32001758072744574,0.3739936050702775,4.817709001876268e-139,coefficient
ols_log_shares_hc3,z_n_tokens_title,0.00918538397299664,0.004671552829660419,2.9029011033358115e-05,0.018341738934959922,0.04927811193111133,coefficient
ols_log_shares_hc3,z_n_tokens_content,0.030939033315934016,0.0054528906979216946,0.02025123749738858,0.04162682913447945,1.4057264255105076e-08,coefficient
ols_log_shares_hc3,z_num_imgs,0.045987408827663785,0.005799720447292913,0.034619818428513666,0.057354999226813905,2.2622037847221558e-15,coefficient
ols_log_shares_hc3,z_num_videos,0.019173842506229288,0.005324462977856586,0.008737768081993176,0.0296099169304654,0.00031727921071253234,coefficient
ols_log_shares_hc3,is_weekend,0.28424028739435947,0.012915003120627948,0.2589265732570564,0.3095540015316625,1.042072174422347e-106,coefficient
ols_log_shares_hc3,z_global_sentiment_polarity,-0.020166225939003964,0.008140887867156733,-0.036122560317576255,-0.00420989156043167,0.013247645060112147,coefficient
ols_log_shares_hc3,z_global_subjectivity,0.0895742900951173,0.006855806742908757,0.0761367453690616,0.103011834821173,6.243699612139115e-39,coefficient
ols_log_shares_hc3,z_rate_positive_words,-0.08285745707318118,0.008716767477694986,-0.09994252922305011,-0.06577238492331225,2.0978129406272393e-21,coefficient
ols_log_shares_hc3,z_rate_negative_words,-0.08795616023174965,0.007849673351447319,-0.10334170721410932,-0.07257061324938999,4.2587912791411274e-29,coefficient
logit_viral_top10,Intercept,0.06360644334133224,0.04853361124617025,0.05783479854851322,0.06995407152910563,0.0,odds_ratio
logit_viral_top10,"C(channel, Treatment(reference=""world""))[T.bus]",1.2284885292831145,0.0698067204886604,1.0713996927881704,1.4086097622939817,0.0031992060992028755,odds_ratio
logit_viral_top10,"C(channel, Treatment(reference=""world""))[T.entertainment]",1.3696608059330988,0.06493053965939984,1.2059909607515469,1.5555429388461108,1.2686081064920814e-06,odds_ratio
logit_viral_top10,"C(channel, Treatment(reference=""world""))[T.lifestyle]",2.0784284112920504,0.08329248605037573,1.7653725838783272,2.4469988377046925,1.5825374639999401e-18,odds_ratio
logit_viral_top10,"C(channel, Treatment(reference=""world""))[T.other]",3.133714521719464,0.06359162357081304,2.766496607728185,3.549676032930203,3.8812560762907247e-72,odds_ratio
logit_viral_top10,"C(channel, Treatment(reference=""world""))[T.socmed]",2.1739365584018095,0.08052695611066413,1.856530962795865,2.5456080478392495,5.251144497688956e-22,odds_ratio
logit_viral_top10,"C(channel, Treatment(reference=""world""))[T.tech]",1.6340618934637,0.06333531650727381,1.443302564056643,1.8500336230022665,8.941049771955097e-15,odds_ratio
logit_viral_top10,z_n_tokens_title,1.0381642271623028,0.017314822005352698,1.003523753565802,1.0740004496453908,0.030532175720965105,odds_ratio
logit_viral_top10,z_n_tokens_content,1.0127392657201855,0.018705283125501602,0.976282900653209,1.0505569847072271,0.498564466397764,odds_ratio
logit_viral_top10,z_num_imgs,1.1124102811347667,0.016143327377507843,1.0777642379685677,1.148170063525916,4.140668730959442e-11,odds_ratio
logit_viral_top10,z_num_videos,1.057354858937436,0.014775014064197727,1.027174550301819,1.0884219214641742,0.00016023828088982338,odds_ratio
logit_viral_top10,is_weekend,1.233469631250423,0.046591102761719995,1.1258228080834165,1.3514092273606917,6.678931999028331e-06,odds_ratio
logit_viral_top10,z_global_sentiment_polarity,0.9847339227472389,0.027512163075959144,0.9330405172229737,1.0392913069791485,0.5760499897400018,odds_ratio
logit_viral_top10,z_global_subjectivity,1.2540028317721106,0.024507046649438223,1.1951931111295557,1.3157062967057336,2.5650780198209578e-20,odds_ratio
logit_viral_top10,z_rate_positive_words,0.7883465921645102,0.029100562301224108,0.7446406677753054,0.8346177912014481,3.026578970074502e-16,odds_ratio
logit_viral_top10,z_rate_negative_words,0.8470486464807822,0.027813183913706286,0.8021096250373875,0.8945054230853816,2.3975271479041117e-09,odds_ratio
